userName,content,score,reviewCreatedVersion,date
MOHAMMAD SOHAIL,good app but daily reward and video reward very low,3,9.0,2020-10-09
Raj Patel,this app is so good and use to use and earn money,5,9.2,2020-10-21
Bideshi Moharana,very very interested good app. quick pay.like anybody' her see now.,5,9.0,2020-10-17
Prakash Jaysri,this app is very good app payment sent my wallet in 2hours,5,9.0,2020-10-19
Brajil kumar Dehury,this app is very nice.1video see he give us 0.1 rupees.but one day only have 100 video.,1,9.0,2020-10-07
SREERAM V,i didnt get the money 25 rs when installed amazon please fix this frizza. any way the app is best for earning money easily.,5,9.2,2020-11-03
All in 1,some time s not come money sometimes come money to walet but no issue this is the problem in this app,3,9.0,2020-10-09
anirudh g,this app is very usable ... it is very good app .i love it,5,9.2,2020-10-20
RAMESH BABU,good earning app but now its offers are limited.,2,9.0,2020-10-12
Dharun Kumar,i got ₹50 successfully within 12 hours it is user friendly and this is very helpful for me,5,9.2,2020-10-25
pvk gaming,it is not sonly sending otp and it is not vertifying my phone number soon it is my problem please check it,1,9.2,2020-10-20
Hopan Tudu,2gud ...2gud .....nice apps ...today payment received lessthan 6 hours ......but email verification still problem for new account,5,9.0,2020-10-10
Manoj Kumar,to good money is very fast tasfer to account.,5,9.0,2020-10-16
muscle x,worst app i have downloaded the apps as said now i am withdrawing my money now its saying our system under maintenance wow,1,9.0,2020-10-02
Ajay Kurmi,very good app for earning money,5,9.2,2020-10-22
Shanu Guha thakurta,why u close the video reward option..now no video to watch,3,9.2,2020-10-24
Sunil Bispatia,very interesting & money earn app.,5,9.0,2020-10-10
Amarjit Maity,yaahoo it's really great apk..today i've achieved my first payment & thank you 💖,5,9.0,2020-10-07
Prince Charan,there is no helpline..i cant verify my mail.. coz you sent a spam,1,9.0,2020-10-10
HUNTSMAN GAMING V3,good app and gives payments 👍👍👍,4,9.2,2020-11-03
Ec-019 Sampath kumar kandivalasa,app pedda bokka manam kastapadi apps ekkinchi register iete money withdraw avvadu e app parama bokka evaru download cheyyoddu plz email verify avvadu money raadu time waste,1,9.0,2020-10-09
Joe Fernandes,my paytm account is a verified .. .u guys say that it invalid paytm number....i even email u guys. ... but no revert..,1,9.0,2020-10-10
Babu sen,nice apps .. last payment received 8/10/20,5,9.0,2020-10-09
yashu soni,app stuck on number verifying,1,9.2,2020-10-31
Venom Gaming,email is not verify dont get gmail notification,1,9.0,2020-10-10
Manoj kumar,nice but you have to add more apps for download,5,9.2,2020-10-22
Aman Tagore,it's a very good app to make money online 🙂,5,9.2,2020-10-25
Shakti. S,very good app real money💵💵💰🤑 app download now and use my refere code :- pccised7 & earn unlimited money,5,9.0,2020-10-11
